Product_ID,Customer_ID,Product_Name,Brand,Category,Price
2ef6e8fa-6a36-4515-b1c2-a0a700abf386,e0d6cb3c-c4b0-4cfe-8225-b65d094d2424,despite,"Lawson, Stone and Campos",perfume oil,250.57
3ba38e01-f8e7-4af2-9246-87ef0961d4f5,fa3ca35a-5540-404b-a7eb-9001cdcbd840,sea,Washington Group,perfume oil,179.81
a58c53bd-a34b-4541-b926-bec9eb84cac2,7ad4de53-e6d7-4cd3-99b8-13fb70fe7a34,suddenly,Rodgers Ltd,perfume oil,600.55
e6021be5-90be-4199-b6c6-82542fb2973c,4b9b409c-19f2-41c0-bc7c-6556e0647ebb,site,"Wilson, Scott and Johnson",perfume oil,414.36
60127671-ab32-4fb5-bfeb-1a7782ad835e,81b513ad-5c02-48cf-bff0-39e1440c4d22,act,"Riddle, Alvarez and Robinson",perfume,704.05
0d1b37a3-8159-4e28-841b-06971fe73e28,7f6608ca-b11e-497f-9421-34ee62f9e220,born,Jones-Edwards,perfume oil,951.69
9e82b85c-d4d6-4235-91f1-137fb41529ca,de08452f-8820-4b7e-a394-dba5520a9ce7,sister,"Webb, Wolf and Rogers",perfume,688.47
48ba3e86-167d-4b02-a5e8-0885e946edcb,e1ef782d-6bd8-4880-ae57-f6638c7309fc,difference,Johnston-Smith,perfume oil,604.82
74416f33-d5da-409c-b483-ac019b19f5c3,df6652a7-8923-431c-b49b-f57138dc1130,cost,"Edwards, Roberts and Jones",perfume,879.18
69caf9a6-a313-489d-a21e-1bcab6ea430e,ef9962f3-cfbe-470e-a6ad-d285dbbfa54b,specific,"Taylor, Miller and Owens",perfume,844.65
2009dc42-c675-48f2-aef9-b3a86556d508,2a5aa693-90a5-487d-bed5-709577862299,culture,"Montoya, Smith and Carter",perfume oil,897.12
d47180ed-6607-4dd0-a521-303b187bfeb3,6c01445d-e4d3-4560-99ee-4a377d042353,letter,"Peterson, Jones and Li",perfume oil,454.55
d96c5a13-1fbd-43a3-bcfc-83f5b139403b,ca0d091c-0d3d-4d01-a4c9-85f07e01f2f5,wish,Jefferson and Sons,perfume oil,630.53
